cd_cnpj;vl_latitude;vl_longitude;vl_latitude_orig;vl_longitude_orig;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;vlr_total_veiculos;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
12305448000100;-23.5505199;-46.6333094;-23,5505199;-46,6333094;;;;;1;;1;VERDE;MEDIA
14180365000150;-14.7809311;-39.2636;-14,7809311;-39,2636;;;;;0;;0;AMARELO;MEDIA
1144533000100;-23.5907593;-46.5486725;-23,5907593;-46,5486725;;;;;0;;0;;INATIVA
1911869000150;-21.8833835;-42.6985095;-21,8833835;-42,6985095;;;;;0;;0;;INATIVA
243955000170;-12.9830488;-38.5136913;-12,9830488;-38,5136913;;;;;0;;0;;INATIVA
890690000100;-23.5072955;-46.7555407;-23,5072955;-46,7555407;;;;;0;;0;;INATIVA
887641000100;-25.4387247;-49.1949172;-25,4387247;-49,1949172;;;;;0;;0;;INATIVA
92783000180;-16.3273047;-48.9533426;-16,3273047;-48,9533426;;;;;0;;0;;INATIVA
9320876000190;-22.432076;-50.5803154;-22,432076;-50,5803154;;;;;0;;0;;INATIVA
1846005000100;-5.6149591;-47.7708204;-5,6149591;-47,7708204;;;;;0;;0;;INATIVA
5610297000120;-16.2806113;-48.9319839;-16,2806113;-48,9319839;;;;;0;;0;;INATIVA
15044857000180;-23.0864185;-46.9770708;-23,0864185;-46,9770708;;;;;1;;1;AMARELO;MEDIA
15028623000140;-22.8492135;-43.2540858;-22,8492135;-43,2540858;;;;;1;;1;AMARELO;MEDIA
7297742000170;-27.0337085;-49.3872519;-27,0337085;-49,3872519;;1;0;1;1;;0;AZUL;BAIXA
15291845000150;-20.3433882;-40.3875092;-20,3433882;-40,3875092;;;;;1;;0;AZUL;ALTA
15090404000190;-26.6109126;-49.0091505;-26,6109126;-49,0091505;;;;;1;;0;VERDE;ALTA
90400888251650;-22.8525901;-47.1565107;-22,8525901;-47,1565107;;;;;0;;0;VERDE;MEDIA
12254288000100;-19.9120148;-43.9711978;-19,9120148;-43,9711978;;;;;0;;0;LARANJA;MEDIA
4226709000160;-23.5505199;-46.6333094;-23,5505199;-46,6333094;;;;;0;;0;AZUL;MEDIA
16679748000100;-19.8909944;-43.9523488;-19,8909944;-43,9523488;;;;;0;10;0;VERDE;ALTA
7793444000170;-29.6963563;-53.844565;-29,6963563;-53,844565;;;;;0;;0;AMARELO;MEDIA
3220549000180;-7.1882638;-39.7376748;-7,1882638;-39,7376748;;;;;1;;0;VERDE;ALTA
1687525000100;-26.1117326;-49.8065079;-26,1117326;-49,8065079;;;;;0;;0;AZUL;MEDIA
11772974000100;-8.1138885;-35.2915134;-8,1138885;-35,2915134;;;;;1;;0;AZUL;ALTA
5850538000290;-23.6001428;-46.6763564;-23,6001428;-46,6763564;;;;;0;;0;VERMELHO;BAIXA
86396371000150;-18.908382;-48.270572;-18,908382;-48,270572;;;;;1;1;0;VERDE;ALTA
52792652000100;-23.541913;-46.7788579;-23,541913;-46,7788579;;;;;0;;0;AMARELO;MEDIA
15818386000110;-21.1900316;-49.580999;-21,1900316;-49,580999;;;;;0;;0;;INATIVA
1498181000190;-28.1322847;-55.0223579;-28,1322847;-55,0223579;;2;0;2;1;;0;VERDE;ALTA
80495856000700;-26.2993337;-48.844535;-26,2993337;-48,844535;;;;;0;;0;VERMELHO;BAIXA
2186486000120;-29.8744377;-50.9984135;-29,8744377;-50,9984135;;;;;1;;0;LARANJA;BAIXA
65070146000230;-23.5702953;-46.6197298;-23,5702953;-46,6197298;;;;;0;;0;AMARELO;MEDIA
2053352000130;-21.5368229;-42.6413579;-21,5368229;-42,6413579;;;;;0;;0;LARANJA;MEDIA
6319255001170;-27.4872075;-50.9728528;-27,4872075;-50,9728528;;;;;0;;0;VERDE;ALTA
10886199000150;-20.3137737;-40.2941848;-20,3137737;-40,2941848;;;;;1;;0;VERDE;ALTA
12019359000190;-22.9249284;-43.3431213;-22,9249284;-43,3431213;;;;;0;;0;AMARELO;MEDIA
6216178000150;-24.8569233;-54.3334256;-24,8569233;-54,3334256;;;;;0;;0;AZUL;MEDIA
12459122000120;-22.7853052;-43.0051048;-22,7853052;-43,0051048;;;;;1;;1;VERDE;MEDIA
10532571000120;-20.4780031;-49.7779205;-20,4780031;-49,7779205;;;;;0;;0;AMARELO;MEDIA
11163415000100;-22.0268377;-47.8934375;-22,0268377;-47,8934375;;;;;0;;0;AZUL;ALTA
20963351002230;-19.6284156;-43.220858;-19,6284156;-43,220858;;4;0;4;0;;0;VERDE;ALTA
55055743000150;-23.6911701;-46.5606889;-23,6911701;-46,5606889;;;;;0;;0;VERMELHO;MEDIA
11199599000150;-23.5714458;-46.697283;-23,5714458;-46,697283;;;;;1;;0;VERDE;MEDIA
9445384000120;-5.2887251;-36.7603816;-5,2887251;-36,7603816;;4;0;4;1;3;0;VERDE;ALTA
87301180000120;-29.4589733;-51.9673123;-29,4589733;-51,9673123;;;;;0;;0;LARANJA;MEDIA
8739568000130;-11.7946561;-37.9435616;-11,7946561;-37,9435616;;;;;0;;0;VERDE;ALTA
4500550000120;-6.3685511;-48.0697669;-6,3685511;-48,0697669;;;;;0;;0;LARANJA;MEDIA
12810402000130;-23.3969772;-46.9995522;-23,3969772;-46,9995522;;;;;1;;0;AMARELO;BAIXA
5410317000110;-22.812618;-47.0761302;-22,812618;-47,0761302;;;;;0;;0;;INATIVA
12223579000130;-23.6698174;-46.5853564;-23,6698174;-46,5853564;;;;;1;;0;AZUL;MEDIA
96617865000170;-22.6105462;-50.6671498;-22,6105462;-50,6671498;;;;;0;;0;AZUL;MEDIA
8047579000150;-22.6606373;-50.404369;-22,6606373;-50,404369;;;;;0;1;0;AMARELO;MEDIA
9873296000120;-19.997465;-44.0423971;-19,997465;-44,0423971;;;;;0;;0;;INATIVA
8641806000170;-27.5969056;-48.5486711;-27,5969056;-48,5486711;;;;;0;;0;;INATIVA
9214498000160;-23.4556501;-46.5659188;-23,4556501;-46,5659188;;;;;0;;0;;INATIVA
12690066000130;-8.2849639;-35.9701874;-8,2849639;-35,9701874;;;;;0;;0;AZUL;ALTA
7605227000100;-25.8335554;-52.7304154;-25,8335554;-52,7304154;;;;;0;;0;;INATIVA
94409778000100;-30.0875704;-51.2356869;-30,0875704;-51,2356869;;;;;0;;0;LARANJA;BAIXA
21081120000130;-19.3244066;-41.2513767;-19,3244066;-41,2513767;;;;;0;;0;LARANJA;MEDIA
77687663000150;-23.5259717;-51.6790774;-23,5259717;-51,6790774;;2;1;3;1;;0;VERDE;ALTA
13103110000120;-23.6317575;-46.6913253;-23,6317575;-46,6913253;;;;;1;;1;AMARELO;BAIXA
84630474000450;-11.6821425;-61.1765191;-11,6821425;-61,1765191;;;;;0;;0;VERDE;MEDIA
37224847000160;-20.7683924;-54.5282522;-20,7683924;-54,5282522;;;;;0;;0;LARANJA;BAIXA
11971190000100;-23.4383937;-46.7079522;-23,4383937;-46,7079522;;;;;1;;1;AMARELO;MEDIA
7244034000170;-20.3058891;-40.2963769;-20,3058891;-40,2963769;;;;;0;;0;AZUL;ALTA
12121605000110;-23.8888022;-47.9811739;-23,8888022;-47,9811739;;;;;0;;0;VERDE;MEDIA
12708033000170;-29.8450304;-51.1373736;-29,8450304;-51,1373736;;;;;1;;1;AMARELO;BAIXA
62955505281310;-19.8122294;-44.0050075;-19,8122294;-44,0050075;;;;;0;;0;VERMELHO;MEDIA
21614193000140;-19.8868188;-43.924144;-19,8868188;-43,924144;;;;;0;;0;;INATIVA
5008116000190;-23.4778099;-46.6820484;-23,4778099;-46,6820484;;;;;0;;0;LARANJA;BAIXA
7095151000110;-7.0136487;-42.1322099;-7,0136487;-42,1322099;;;;;0;;0;LARANJA;MEDIA
15493137000100;-30.0956211;-51.2272425;-30,0956211;-51,2272425;;;;;1;;1;VERDE;MEDIA
9253073000160;-23.657769;-46.693659;-23,657769;-46,693659;;;;;1;;0;AZUL;MEDIA
5266699000150;-14.3354678;-40.9046493;-14,3354678;-40,9046493;;;;;1;;0;AZUL;ALTA
5312857000160;-21.1839696;-47.7938219;-21,1839696;-47,7938219;;;;;0;;0;;INATIVA
5421886000160;-22.7055965;-46.7693964;-22,7055965;-46,7693964;;;;;0;;0;;INATIVA
42064295000100;-10.4546513;-40.1819714;-10,4546513;-40,1819714;;;;;0;;0;;INATIVA
1893515000120;-24.0778289;-51.7418756;-24,0778289;-51,7418756;;;;;0;;0;;INATIVA
15136062000100;-12.9726504;-38.4938111;-12,9726504;-38,4938111;;;;;0;;0;;INATIVA
17184201078970;-19.2760428;-44.405245;-19,2760428;-44,405245;;;;;0;;0;;INATIVA
15136583000150;-12.9718268;-38.5129729;-12,9718268;-38,5129729;;;;;0;;0;;INATIVA
